vehid,orderid,time,longitude,latitude
1,11811,1477960035,104.062,30.72328
1,11811,1477960040,104.062,30.72325
1,11811,1477960043,104.062,30.72318
1,11811,1477960046,104.062,30.72318
1,11811,1477960049,104.062,30.72318
1,11811,1477960052,104.062,30.72325
1,11811,1477960055,104.062,30.72323
1,11811,1477960058,104.062,30.72322
1,11811,1477960061,104.062,30.72319
1,11811,1477960064,104.062,30.72319
1,11811,1477960067,104.062,30.72319
1,11811,1477960070,104.062,30.7232
1,11811,1477960073,104.062,30.7232
1,11811,1477960076,104.062,30.7232
1,11811,1477960079,104.062,30.72322
1,11811,1477960082,104.062,30.72325
1,11811,1477960085,104.062,30.72328
1,11811,1477960088,104.062,30.72328
1,11811,1477960089,104.062,30.72329
1,11811,1477960091,104.062,30.7233
1,11811,1477960094,104.062,30.72334
1,11811,1477960097,104.062,30.72341
1,11811,1477960102,104.062,30.72348
1,11811,1477960104,104.06201,30.72373
1,11811,1477960106,104.06201,30.72388
1,11811,1477960109,104.06201,30.72404
1,11811,1477960112,104.06203,30.72436
1,11811,1477960115,104.06204,30.72462
1,11811,1477960118,104.06206,30.72484
1,11811,1477960121,104.06212,30.72497
1,11811,1477960124,104.06226,30.72495
1,11811,1477960127,104.06246,30.72493
1,11811,1477960130,104.06276,30.7249
1,11811,1477960133,104.06319,30.72485
1,11811,1477960136,104.06342,30.72482
1,11811,1477960139,104.06366,30.72479
1,11811,1477960142,104.06388,30.72477
1,11811,1477960145,104.06415,30.72474
1,11811,1477960169,104.06439,30.72471
1,11811,1477960170,104.06467,30.72467
1,11811,1477960229,104.07259,30.72367
1,11811,1477960232,104.0729,30.72363
1,11811,1477960235,104.07315,30.7236
1,11811,1477960238,104.07344,30.72356
1,11811,1477960241,104.07366,30.72353
1,11811,1477960244,104.07387,30.72349
1,11811,1477960247,104.07411,30.72345
1,11811,1477960250,104.07435,30.72341
1,11811,1477960253,104.07459,30.72338
1,11811,1477960256,104.0749,30.72332
1,11811,1477960259,104.07513,30.72328
1,11811,1477960262,104.07539,30.72322
1,11811,1477960265,104.07567,30.72317
1,11811,1477960268,104.07592,30.72312
1,11811,1477960271,104.07625,30.72304
1,11811,1477960274,104.07664,30.72295
1,11811,1477960277,104.07699,30.72286
1,11811,1477960280,104.07733,30.72276
1,11811,1477960283,104.07769,30.72267
1,11811,1477960286,104.07806,30.72257
1,11811,1477960289,104.0785,30.72246
1,11811,1477960292,104.07896,30.72233
1,11811,1477960295,104.07934,30.72223
1,11811,1477960298,104.07969,30.72213
1,11811,1477960301,104.08016,30.72201
1,11811,1477960304,104.08053,30.72191
1,11811,1477960307,104.0809,30.72181
1,11811,1477960310,104.08128,30.7217
1,11811,1477960313,104.08166,30.7216
1,11811,1477960316,104.08193,30.72152
1,11811,1477960319,104.08225,30.72144
1,11811,1477960322,104.0826,30.72135
1,11811,1477960325,104.083,30.72124
1,11811,1477960328,104.08322,30.72119
1,11811,1477960331,104.08349,30.72111
1,11811,1477960334,104.0838,30.72103
1,11811,1477960337,104.08415,30.72094
1,11811,1477960340,104.08452,30.72084
1,11811,1477960343,104.08483,30.72076
1,11811,1477960346,104.0853,30.72063
1,11811,1477960349,104.0858,30.7205
1,11811,1477960352,104.08627,30.72037
1,11811,1477960355,104.0867,30.72025
1,11811,1477960358,104.08719,30.72013
1,11811,1477960361,104.08765,30.72
1,11811,1477960364,104.08818,30.71986
1,11811,1477960367,104.08854,30.71978
1,11811,1477960370,104.08896,30.71968
1,11811,1477960373,104.08935,30.71959
1,11811,1477960376,104.08976,30.71951
1,11811,1477960382,104.0905,30.71939
1,11811,1477960385,104.09083,30.71935
1,11811,1477960388,104.09116,30.7193
1,11811,1477960391,104.09144,30.71926
1,11811,1477960394,104.09175,30.71923
1,11811,1477960397,104.09213,30.71919
1,11811,1477960400,104.09255,30.71916
1,11811,1477960403,104.09295,30.71912
1,11811,1477960406,104.09336,30.71911
1,11811,1477960409,104.09383,30.71909
1,11811,1477960412,104.09426,30.71907
1,11811,1477960415,104.09462,30.71906
1,11811,1477960418,104.09503,30.71904
1,11811,1477960421,104.09539,30.71902
1,11811,1477960424,104.09571,30.71901
1,11811,1477960430,104.09655,30.71897
1,11811,1477960433,104.09706,30.71895
1,11811,1477960436,104.09759,30.71893
1,11811,1477960439,104.09815,30.71891
1,11811,1477960442,104.09865,30.71888
1,11811,1477960445,104.09922,30.71886
1,11811,1477960448,104.09977,30.71883
1,11811,1477960451,104.10022,30.71881
1,11811,1477960454,104.10065,30.7189
1,11811,1477960457,104.10095,30.71892
1,11811,1477960460,104.10128,30.7189
