orderid,急加速发生次数,急加速发生次数多于了,急减速发生次数,急减速发生次数多于了,长时间怠速发生次数,长时间怠速发生次数多于了,长时间加速发生次数,长时间加速发生次数多于了,短时间连续制动发生次数,短时间连续制动发生次数多于了,分数
11811,10,72%,0,0%,0,0%,13,72%,0,0%,82
85979,3,26%,0,0%,1,64%,6,26%,0,0%,79
47300,20,92%,0,0%,7,99%,18,89%,6,99%,73
4551,17,80%,0,0%,0,0%,8,69%,0,0%,82
54792,1,8%,0,0%,0,0%,1,9%,0,0%,97
52673,17,80%,0,0%,0,0%,7,62%,0,0%,82
24844,5,18%,16,88%,1,90%,0,0%,0,0%,88
11825,5,18%,9,72%,0,0%,0,0%,0,0%,85
89487,6,41%,16,88%,1,90%,0,0%,0,0%,91
4471,16,59%,0,0%,1,57%,13,56%,1,69%,76
10563,11,42%,0,0%,4,93%,7,29%,4,97%,55
17476,7,27%,0,0%,1,57%,8,33%,0,0%,82
49657,5,21%,3,18%,3,88%,7,29%,1,66%,64
127465,5,21%,3,18%,1,59%,7,29%,1,66%,76
167459,4,12%,3,18%,2,73%,7,29%,1,66%,61
875,0,0%,0,0%,1,77%,3,8%,0,0%,97
324,26,94%,0,0%,6,99%,37,99%,5,99%,82
546,7,32%,0,0%,0,0%,5,15%,0,0%,46
146,13,49%,0,0%,3,94%,12,29%,2,88%,61
72,10,36%,0,0%,5,99%,14,36%,3,95%,70
256,8,27%,0,0%,0,0%,12,29%,0,0%,82
888,6,45%,0,0%,5,99%,15,71%,2,94%,61
289,7,51%,0,0%,0,0%,10,53%,0,0%,55
537,2,15%,0,0%,3,99%,5,28%,0,0%,94
4026,8,46%,0,0%,2,80%,7,81%,1,86%,85
2336,6,33%,0,0%,1,70%,0,0%,0,0%,88
6465,5,27%,0,0%,0,0%,0,0%,0,0%,85
87975,1,9%,0,0%,0,0%,1,23%,0,0%,73
43273,23,99%,0,0%,1,80%,4,64%,0,0%,82
70291,1,9%,0,0%,0,0%,0,0%,0,0%,76
5289,1,5%,0,0%,1,84%,1,12%,0,0%,94
3177,1,5%,0,0%,1,84%,1,12%,0,0%,97
13128,17,84%,0,0%,0,0%,6,75%,0,0%,91
64826,16,69%,0,0%,4,90%,15,99%,2,86%,79
20967,11,44%,0,0%,2,80%,3,18%,1,70%,88
77438,9,30%,0,0%,2,80%,5,44%,2,86%,73
